domain,status,registrar
ceris.com,TAKEN,Register.com - Network Solutions, LLC
cerno.com,TAKEN,Tucows Domains Inc.
cervo.com,TAKEN,Tucows Domains Inc.
chavi.com,TAKEN,GoDaddy Online Services Cayman Islands L
chaya.com,TAKEN,Dynadot Inc
chine.com,TAKEN,GoDaddy.com, LLC
cibus.com,TAKEN,GoDaddy.com, LLC
cielo.com,TAKEN,Squarespace Domains II LLC
cirque.com,TAKEN,Network Solutions, LLC
citta.com,TAKEN,GoDaddy.com, LLC
clair.com,TAKEN,101domain GRS Limited
clamo.com,TAKEN,GoDaddy Online Services Cayman Islands L
clarix.com,TAKEN,Network Solutions, LLC
claro.com,TAKEN,Nom-iq Ltd. dba COM LAUDE
clary.com,TAKEN,Network Solutions, LLC
claryx.com,TAKEN,GoDaddy.com, LLC
clerex.com,TAKEN,Name.com, Inc.
clerix.com,TAKEN,TurnCommerce, Inc. DBA NameBright.com
clevis.com,TAKEN,GoDaddy.com, LLC
clew.com,TAKEN,Easyspace Limited
clexon.com,TAKEN,Squarespace Domains II LLC
clivex.com,TAKEN,GoDaddy.com, LLC
clovex.com,TAKEN,GoDaddy.com, LLC
clymax.com,TAKEN,Register.com - Network Solutions, LLC
clyver.com,TAKEN,Dynadot Inc
codhex.com,TAKEN,Tucows Domains Inc.
coign.com,TAKEN,GoDaddy.com, LLC
colure.com,TAKEN,NameSilo, LLC
confit.com,TAKEN,GoDaddy.com, LLC
copal.com,TAKEN,GoDaddy.com, LLC
copse.com,TAKEN,GoDaddy.com, LLC
coraly.com,TAKEN,Nameshield SAS
corefy.com,TAKEN,NameCheap, Inc.
corfex.com,TAKEN,TurnCommerce, Inc. DBA NameBright.com
corfyx.com,TAKEN,HOSTINGER operations, UAB
corium.com,TAKEN,GoDaddy.com, LLC
cormel.com,TAKEN,GoDaddy.com, LLC
cortax.com,TAKEN,Megazone Corp., dba HOSTING.KR
corve.com,TAKEN,Dinahosting s.l.
covine.com,TAKEN,GoDaddy.com, LLC
crafex.com,TAKEN,GoDaddy.com, LLC
crafyl.com,AVAILABLE,none
creel.com,TAKEN,Name.com, Inc.
cremo.com,TAKEN,Infomaniak Network SA
crenel.com,TAKEN,TurnCommerce, Inc. DBA NameBright.com
cresyx.com,TAKEN,Unstoppable Domains Inc.
crevox.com,TAKEN,Strange Domains LLC
cruxly.com,TAKEN,GoDaddy.com, LLC
cryfex.com,TAKEN,Cloudflare, Inc.
cryply.com,TAKEN,GoDaddy.com, LLC
culm.com,TAKEN,GoDaddy.com, LLC
curia.com,TAKEN,GoDaddy.com, LLC
cymar.com,TAKEN,GoDaddy.com, LLC
cynova.com,TAKEN,Network Solutions, LLC
cyphex.com,TAKEN,GoDaddy.com, LLC
dado.com,TAKEN,GoDaddy.com, LLC
dagaz.com,TAKEN,GoDaddy.com, LLC
dalar.com,TAKEN,Sea Wasp, LLC
dalink.com,TAKEN,GoDaddy.com, LLC
dalvi.com,TAKEN,Squarespace Domains II LLC
dapex.com,TAKEN,Tucows Domains Inc.
daplex.com,TAKEN,GoDaddy.com, LLC
daraja.com,TAKEN,GoDaddy.com, LLC
daram.com,TAKEN,GoDaddy.com, LLC
dardo.com,TAKEN,101domain GRS Limited
daric.com,TAKEN,GoDaddy.com, LLC
dashex.com,TAKEN,eNom, LLC
dashly.com,TAKEN,GoDaddy.com, LLC
dataly.com,TAKEN,MarkMonitor Inc.
datova.com,TAKEN,GoDaddy.com, LLC
datrix.com,TAKEN,Gandi SAS
davex.com,TAKEN,Tucows Domains Inc.
davit.com,TAKEN,Network Solutions, LLC
decus.com,TAKEN,Dynadot Inc
dekol.com,TAKEN,GoDaddy.com, LLC
delf.com,TAKEN,GoDaddy.com, LLC
deshi.com,TAKEN,GMO Internet Group, Inc. d/b/a Onamae.co
devox.com,TAKEN,Tucows Domains Inc.
dhara.com,TAKEN,GoDaddy.com, LLC
dight.com,TAKEN,IONOS SE
dimma.com,TAKEN,Network Solutions, LLC
divol.com,TAKEN,Network Solutions, LLC
doceo.com,TAKEN,NameCheap, Inc.
drala.com,TAKEN,Moniker Online Services LLC
drang.com,TAKEN,Register.com - Network Solutions, LLC
drave.com,TAKEN,GoDaddy.com, LLC
draxo.com,TAKEN,Megazone Corp., dba HOSTING.KR
draxon.com,TAKEN,GoDaddy.com, LLC
drevol.com,TAKEN,GoDaddy.com, LLC
drevox.com,TAKEN,DropCatch.com 773 LLC
drixon.com,TAKEN,Dynadot Inc
drogue.com,TAKEN,GoDaddy.com, LLC
druse.com,TAKEN,GoDaddy.com, LLC
druxon.com,TAKEN,NameCheap, Inc.
dryfix.com,TAKEN,GoDaddy.com, LLC
dryve.com,TAKEN,GoDaddy.com, LLC
dryxel.com,AVAILABLE,none
dulcet.com,TAKEN,Alibaba Cloud Computing (Beijing) Co., L
dulse.com,TAKEN,Network Solutions, LLC
durbar.com,TAKEN,Megazone Corp., dba HOSTING.KR
durus.com,TAKEN,Megazone Corp., dba HOSTING.KR
duvex.com,TAKEN,GoDaddy.com, LLC
dyami.com,TAKEN,Network Solutions, LLC
eclat.com,TAKEN,GoDaddy.com, LLC
eland.com,TAKEN,Netpia.com, Inc.
elater.com,TAKEN,Easyspace Limited
elevo.com,TAKEN,Bluehost Inc.
elmas.com,TAKEN,GoDaddy.com, LLC
elsko.com,TAKEN,GoDaddy.com, LLC
embrex.com,TAKEN,MarkMonitor Inc.
endru.com,TAKEN,IONOS SE
endue.com,TAKEN,GoDaddy.com, LLC
enflux.com,TAKEN,Network Solutions, LLC
envol.com,TAKEN,Alibaba Cloud Computing (Beijing) Co., L
enzi.com,TAKEN,Sea Wasp, LLC
eram.com,TAKEN,GoDaddy Online Services Cayman Islands L
erudo.com,TAKEN,GoDaddy.com, LLC
essor.com,TAKEN,OVH sas
estop.com,TAKEN,GoDaddy.com, LLC
etalon.com,TAKEN,GoDaddy Online Services Cayman Islands L
evince.com,TAKEN,DomainSpot LLC
exigo.com,TAKEN,Network Solutions, LLC
eyrir.com,TAKEN,MarkMonitor Inc.
faber.com,TAKEN,Key-Systems GmbH
facis.com,TAKEN,Tucows Domains Inc.
fahari.com,TAKEN,Register.com - Network Solutions, LLC
falak.com,TAKEN,Dynadot Inc
falda.com,TAKEN,GoDaddy.com, LLC
faldo.com,TAKEN,InterNetX GmbH
fardel.com,TAKEN,Annulet LLC
farl.com,TAKEN,PDR Ltd. d/b/a PublicDomainRegistry.com
farol.com,TAKEN,Xiamen 35.com Information Co., Ltd.
feal.com,TAKEN,GoDaddy Online Services Cayman Islands L
fealty.com,TAKEN,NameCheap, Inc.
fedha.com,TAKEN,DomainSpot LLC
felloe.com,TAKEN,TurnCommerce, Inc. DBA NameBright.com
felpa.com,TAKEN,DNC Holdings, Inc.
fenno.com,TAKEN,Network Solutions, LLC
ferly.com,TAKEN,Name.com, Inc.
ferox.com,TAKEN,Register.com - Network Solutions, LLC
ferro.com,TAKEN,Network Solutions, LLC
filar.com,TAKEN,NameSilo, LLC
filon.com,TAKEN,Network Solutions, LLC
fiore.com,TAKEN,Dynadot Inc
firme.com,TAKEN,GoDaddy.com, LLC
firmo.com,TAKEN,Epik LLC
flarex.com,TAKEN,GoDaddy.com, LLC
flarik.com,AVAILABLE,none
fleme.com,TAKEN,TurnCommerce, Inc. DBA NameBright.com
flexx.com,TAKEN,eNom, LLC
flixon.com,TAKEN,GoDaddy.com, LLC
flofix.com,TAKEN,10dencehispahard, S.L.
florap.com,TAKEN,Vautron Rechenzentrum AG
flore.com,TAKEN,GoDaddy.com, LLC
florex.com,TAKEN,Wild West Domains, LLC
florix.com,TAKEN,GoDaddy Online Services Cayman Islands L
flosyn.com,TAKEN,IONOS SE
flowex.com,TAKEN,Name.com, Inc.
flowra.com,TAKEN,InterNetX GmbH
flowyn.com,TAKEN,Wix.com Ltd.
flume.com,TAKEN,GoDaddy.com, LLC
fluvex.com,TAKEN,SNAPNAMES 25, LLC
fluxly.com,TAKEN,Gandi SAS
fluxo.com,TAKEN,GoDaddy.com, LLC
fluxra.com,TAKEN,HOSTINGER operations, UAB
folco.com,TAKEN,GoDaddy.com, LLC
fonte.com,TAKEN,Network Solutions, LLC
forgly.com,TAKEN,GoDaddy.com, LLC
formex.com,TAKEN,Tucows Domains Inc.
formix.com,TAKEN,Strange Domains LLC
forno.com,TAKEN,GoDaddy.com, LLC
forrel.com,TAKEN,DropCatch.com 461 LLC
fraxel.com,TAKEN,MarkMonitor Inc.
frevol.com,TAKEN,GoDaddy.com, LLC
frivex.com,TAKEN,Dropcatching Names LLC
frixon.com,TAKEN,Alpine Domains Inc.
froe.com,TAKEN,GoDaddy.com, LLC
frond.com,TAKEN,Cloudflare, Inc.
frosyn.com,AVAILABLE,none
fruxon.com,TAKEN,Squarespace Domains II LLC
fugal.com,TAKEN,GoDaddy.com, LLC
fulgo.com,TAKEN,InterNetX GmbH
fulvo.com,TAKEN,Megazone Corp., dba HOSTING.KR
fundo.com,TAKEN,GoDaddy.com, LLC
funke.com,TAKEN,Tucows Domains Inc.
fusil.com,TAKEN,GoDaddy.com, LLC
fynd.com,TAKEN,Name.com, Inc.
fynda.com,TAKEN,DropCatch.com 1388 LLC
fyndr.com,TAKEN,NameCheap, Inc.
fynex.com,TAKEN,GoDaddy.com, LLC
fytte.com,TAKEN,GoDaddy.com, LLC
galena.com,TAKEN,GoDaddy.com, LLC
galva.com,TAKEN,Network Solutions, LLC
gaman.com,TAKEN,GoDaddy.com, LLC
gamba.com,TAKEN,GoDaddy.com, LLC
garno.com,TAKEN,GoDaddy.com, LLC
gault.com,TAKEN,Tucows Domains Inc.
gauri.com,TAKEN,IONOS SE
gelid.com,TAKEN,GoDaddy.com, LLC
gelso.com,TAKEN,Dynadot Inc
gemot.com,TAKEN,Dynadot Inc
gioia.com,TAKEN,Tucows Domains Inc.
glanz.com,TAKEN,Tucows Domains Inc.
glede.com,TAKEN,NameSilo, LLC
gloam.com,TAKEN,GoDaddy.com, LLC
glyff.com,TAKEN,TurnCommerce, Inc. DBA NameBright.com
gonif.com,TAKEN,eNom, LLC
govex.com,TAKEN,MarkMonitor Inc.
govol.com,TAKEN,GoDaddy Online Services Cayman Islands L
graith.com,TAKEN,DNC Holdings, Inc.
gravi.com,TAKEN,Network Solutions, LLC
grevol.com,TAKEN,Soluciones Corporativas IP, SL
grexon.com,TAKEN,Hetzner Online GmbH
gridex.com,TAKEN,GoDaddy.com, LLC
gridfy.com,TAKEN,GoDaddy.com, LLC
gridly.com,TAKEN,Gandi SAS
grixon.com,TAKEN,GoDaddy.com, LLC
grovex.com,TAKEN,Network Solutions, LLC
groza.com,TAKEN,Tucows Domains Inc.
gurge.com,TAKEN,NameCheap, Inc.
gyral.com,TAKEN,GoDaddy.com, LLC
habari.com,TAKEN,Hostopia Canada Corp
habeo.com,TAKEN,OVH sas
haldi.com,TAKEN,GoDaddy.com, LLC
hames.com,TAKEN,Tucows Domains Inc.
haneul.com,TAKEN,GoDaddy.com, LLC
harl.com,TAKEN,Network Solutions, LLC
hasta.com,TAKEN,Abion AB
haxr.com,TAKEN,NameCheap, Inc.
helka.com,TAKEN,Moniker Online Services LLC
helpr.com,TAKEN,Wild West Domains, LLC
helve.com,TAKEN,Moniker Online Services LLC
hexora.com,TAKEN,GoDaddy.com, LLC
hodari.com,TAKEN,GoDaddy.com, LLC
holta.com,TAKEN,Abion AB
hurds.com,TAKEN,GoDaddy.com, LLC
hylsa.com,TAKEN,GoDaddy.com, LLC
hypr.com,TAKEN,Squarespace Domains II LLC
hyprex.com,TAKEN,GoDaddy.com, LLC
hyprix.com,TAKEN,IONOS SE
hytta.com,TAKEN,Domeneshop AS dba domainnameshop.com
ibera.com,TAKEN,Network Solutions, LLC
ignis.com,TAKEN,Dynadot Inc
iluma.com,TAKEN,Squarespace Domains II LLC
imaret.com,TAKEN,TurnCommerce, Inc. DBA NameBright.com
imber.com,TAKEN,Amazon Registrar, Inc.
inflix.com,TAKEN,Wild West Domains, LLC
instar.com,TAKEN,united-domains GmbH
iskra.com,TAKEN,GoDaddy.com, LLC
ivalo.com,TAKEN,CSL Computer Service Langenbach GmbH d/b
ixora.com,TAKEN,GoDaddy.com, LLC
jabal.com,TAKEN,GoDaddy.com, LLC
jarrah.com,TAKEN,GoDaddy.com, LLC
jarvi.com,TAKEN,NameCheap, Inc.
jivex.com,TAKEN,Inames Co., Ltd.
jivon.com,TAKEN,TurnCommerce, Inc. DBA NameBright.com
jivra.com,TAKEN,Dynadot Inc
jokul.com,TAKEN,GoDaddy.com, LLC
jungo.com,TAKEN,GoDaddy.com, LLC
jupex.com,TAKEN,GoDaddy.com, LLC
jural.com,TAKEN,Moniker Online Services LLC
jyoti.com,TAKEN,Tucows Domains Inc.
kalbex.com,TAKEN,Annulet LLC
kalbo.com,TAKEN,GoDaddy.com, LLC
kaldo.com,TAKEN,123-Reg Limited
kalex.com,TAKEN,Network Solutions, LLC
kalvex.com,TAKEN,GoDaddy.com, LLC
kalvio.com,TAKEN,GoDaddy.com, LLC
kalvix.com,TAKEN,GoDaddy.com, LLC
kalvon.com,TAKEN,Name.com, Inc.
kanlex.com,TAKEN,Annulet LLC
kanvix.com,TAKEN,SNAPNAMES 49, LLC
kanvo.com,TAKEN,GoDaddy.com, LLC
karst.com,TAKEN,GoDaddy.com, LLC
karvex.com,TAKEN,Unstoppable Domains Inc.
kavi.com,TAKEN,Amazon Registrar, Inc.
kavio.com,TAKEN,Network Solutions, LLC
kavion.com,TAKEN,GoDaddy.com, LLC
kavix.com,TAKEN,Dynadot Inc
kavlex.com,TAKEN,Name.com, Inc.
kavol.com,TAKEN,GoDaddy.com, LLC
kavon.com,TAKEN,Network Solutions, LLC
kavor.com,TAKEN,NameSilo, LLC
kavro.com,TAKEN,GoDaddy.com, LLC
kaxen.com,TAKEN,InterNetX GmbH
kaxo.com,TAKEN,GoDaddy.com, LLC
kaxol.com,TAKEN,Annulet LLC
kedge.com,TAKEN,GoDaddy.com, LLC
keenfy.com,TAKEN,Dynadot Inc
keenix.com,TAKEN,NameCheap, Inc.
kelbi.com,TAKEN,Alpine Domains Inc.
kelbix.com,TAKEN,DropCatch.com 900 LLC
kelno.com,TAKEN,GoDaddy.com, LLC
kelpie.com,TAKEN,GoDaddy.com, LLC
kelrix.com,TAKEN,GoDaddy.com, LLC
kelta.com,TAKEN,GoDaddy.com, LLC
kelv.com,TAKEN,eName Technology Co., Ltd.
kelvi.com,TAKEN,Squarespace Domains II LLC
kelvo.com,TAKEN,DreamHost, LLC
kern.com,TAKEN,GoDaddy.com, LLC
kerno.com,TAKEN,HOSTINGER operations, UAB
kexil.com,TAKEN,Unstoppable Domains Inc.
kexli.com,TAKEN,DropCatch.com 556 LLC
kexo.com,TAKEN,GoDaddy.com, LLC
kilma.com,TAKEN,GoDaddy Online Services Cayman Islands L
kirn.com,TAKEN,GoDaddy.com, LLC
kirtle.com,TAKEN,GoDaddy.com, LLC
kirvo.com,TAKEN,Dynadot Inc
kivlex.com,AVAILABLE,none
kivo.com,TAKEN,NameCheap, Inc.
klang.com,TAKEN,Mesh Digital Limited
klavo.com,TAKEN,GoDaddy.com, LLC
klaxen.com,TAKEN,Tucows Domains Inc.
klaxi.com,TAKEN,TurnCommerce, Inc. DBA NameBright.com
klaxo.com,TAKEN,SafeNames Ltd.
klev.com,TAKEN,GoDaddy.com, LLC
klevo.com,TAKEN,Network Solutions, LLC
klexon.com,TAKEN,GoDaddy.com, LLC
klivo.com,TAKEN,TurnCommerce, Inc. DBA NameBright.com
kluro.com,TAKEN,GoDaddy.com, LLC
kluvex.com,TAKEN,GoDaddy.com, LLC
kluvon.com,TAKEN,NameCheap, Inc.
kluxon.com,AVAILABLE,none
klyra.com,TAKEN,GoDaddy.com, LLC
kolvex.com,TAKEN,Unstoppable Domains Inc.
kopek.com,TAKEN,GoDaddy.com, LLC
korin.com,TAKEN,Gandi SAS
koshi.com,TAKEN,GoDaddy.com, LLC
kravex.com,TAKEN,Epik LLC
krelo.com,TAKEN,InterNetX GmbH
kreno.com,TAKEN,Gandi SAS
krev.com,TAKEN,Cloudflare, Inc.
krevix.com,TAKEN,Name.com, Inc.
krevol.com,TAKEN,GoDaddy.com, LLC
krexa.com,TAKEN,Dynadot Inc
krexil.com,TAKEN,NameCheap, Inc.
krezon.com,TAKEN,PDR Ltd. d/b/a PublicDomainRegistry.com
krimex.com,TAKEN,Regional Network Information Center, JSC
krimon.com,TAKEN,GoDaddy.com, LLC
krivex.com,TAKEN,Unstoppable Domains Inc.
krivo.com,TAKEN,GoDaddy.com, LLC
krivon.com,TAKEN,INWX GmbH
krixol.com,TAKEN,Cloudflare, Inc.
krixon.com,TAKEN,GoDaddy.com, LLC
krova.com,TAKEN,Dynadot Inc
kruval.com,TAKEN,Cloudflare, Inc.
kruven.com,TAKEN,Cloudflare, Inc.
kruxel.com,TAKEN,Cloudflare, Inc.
kruxi.com,TAKEN,GoDaddy.com, LLC
kruxo.com,TAKEN,Snappyregistrar.com LLC
kruxon.com,TAKEN,Nics Telekomunikasyon A.S.
krysp.com,TAKEN,Tucows Domains Inc.
kulia.com,TAKEN,GoDaddy.com, LLC
kumo.com,TAKEN,Launchpad.com Inc.
kunda.com,TAKEN,Xin Net Technology Corporation
kvol.com,TAKEN,GoDaddy.com, LLC
kwikr.com,TAKEN,GoDaddy.com, LLC
kynda.com,TAKEN,GoDaddy.com, LLC
kyudo.com,TAKEN,Network Solutions, LLC
laari.com,TAKEN,Tucows Domains Inc.
lacet.com,TAKEN,InterNetX GmbH
lacuna.com,TAKEN,Tucows Domains Inc.
lahar.com,TAKEN,GoDaddy.com, LLC
lampi.com,TAKEN,Megazone Corp., dba HOSTING.KR
larme.com,TAKEN,XServer, Inc.
larum.com,TAKEN,IONOS SE
latro.com,TAKEN,GoDaddy.com, LLC
laving.com,TAKEN,GoDaddy.com, LLC
leapex.com,TAKEN,NameCheap, Inc.
leapfy.com,TAKEN,GoDaddy.com, LLC
leapix.com,TAKEN,Annulet LLC
leapra.com,TAKEN,Dynadot Inc
lernux.com,TAKEN,HOSTINGER operations, UAB
lesto.com,TAKEN,GoDaddy.com, LLC
levin.com,TAKEN,GoDaddy Online Services Cayman Islands L
levis.com,TAKEN,MarkMonitor Inc.
levrix.com,TAKEN,NameCheap, Inc.
licht.com,TAKEN,Tucows Domains Inc.
lieto.com,TAKEN,GoDaddy.com, LLC
limber.com,TAKEN,NameCheap, Inc.
linden.com,TAKEN,GoDaddy.com, LLC
linkex.com,TAKEN,GoDaddy.com, LLC
linkfy.com,TAKEN,CSL Computer Service Langenbach GmbH d/b
linkly.com,TAKEN,Tucows Domains Inc.
linkra.com,TAKEN,Squarespace Domains II LLC
linne.com,TAKEN,GoDaddy.com, LLC
lintel.com,TAKEN,DomainSpot LLC
lisse.com,TAKEN,Network Solutions, LLC
livor.com,TAKEN,GoDaddy.com, LLC
livox.com,TAKEN,Domain.com - Network Solutions, LLC
lixon.com,TAKEN,Key-Systems GmbH
logify.com,TAKEN,Ascio Technologies, Inc. Danmark - Filia
logrix.com,TAKEN,Annulet LLC
lokah.com,TAKEN,GoDaddy.com, LLC
lokan.com,TAKEN,GoDaddy Online Services Cayman Islands L
lorel.com,TAKEN,Internet Domain Service BS Corp
lovex.com,TAKEN,Bluehost Inc.
lucarne.com,TAKEN,GoDaddy.com, LLC
lucent.com,TAKEN,SafeBrands SAS
lucro.com,TAKEN,GoDaddy Online Services Cayman Islands L
lueur.com,TAKEN,GoDaddy.com, LLC
lunate.com,TAKEN,GoDaddy.com, LLC
lunor.com,TAKEN,Mesh Digital Limited
lunula.com,TAKEN,Register.com - Network Solutions, LLC
lunule.com,TAKEN,Squarespace Domains LLC
lustre.com,TAKEN,Epik LLC
luvex.com,TAKEN,GoDaddy.com, LLC
luxa.com,TAKEN,Network Solutions, LLC
luxvon.com,TAKEN,Unstoppable Domains Inc.
lyrfix.com,AVAILABLE,none
machi.com,TAKEN,Wild West Domains, LLC
macle.com,TAKEN,Hetzner Online GmbH
madder.com,TAKEN,Tucows Domains Inc.
maflux.com,TAKEN,Net-Chinese Co., Ltd.
maksi.com,TAKEN,Domeneshop AS dba domainnameshop.com
maldo.com,TAKEN,GoDaddy.com, LLC
mallow.com,TAKEN,Moniker Online Services LLC
manar.com,TAKEN,Network Solutions, LLC
maneo.com,TAKEN,OVH sas
manha.com,TAKEN,Register SPA
mantic.com,TAKEN,GoDaddy.com, LLC
manto.com,TAKEN,Sea Wasp, LLC
marga.com,TAKEN,Tucows Domains Inc.
marque.com,TAKEN,MarkMonitor Inc.
masika.com,TAKEN,GoDaddy.com, LLC
mastic.com,TAKEN,GoDaddy.com, LLC
masula.com,TAKEN,TurnCommerce, Inc. DBA NameBright.com
matchr.com,TAKEN,Bluehost Inc.
matra.com,TAKEN,Nameshield SAS
matryx.com,TAKEN,Synergy Wholesale Accreditations Pty Ltd
mavrix.com,TAKEN,GoDaddy.com, LLC
meglux.com,TAKEN,TurnCommerce, Inc. DBA NameBright.com
meglyx.com,AVAILABLE,none
megrix.com,AVAILABLE,none
meldi.com,TAKEN,GoDaddy.com, LLC
melton.com,TAKEN,Tucows Domains Inc.
mercer.com,TAKEN,MarkMonitor Inc.
mergr.com,TAKEN,GoDaddy.com, LLC
merse.com,TAKEN,Dynadot Inc
mesha.com,TAKEN,GoDaddy.com, LLC
meshfy.com,TAKEN,Sea Wasp, LLC
meshix.com,TAKEN,Dynadot Inc
meshly.com,TAKEN,NameCheap, Inc.
mesne.com,TAKEN,Dynadot Inc
mewl.com,TAKEN,GoDaddy.com, LLC
mexon.com,TAKEN,TurnCommerce, Inc. DBA NameBright.com
miele.com,TAKEN,MarkMonitor Inc.
mindex.com,TAKEN,Amazon Registrar, Inc.
mindly.com,TAKEN,GoDaddy.com, LLC
minfox.com,TAKEN,TurnCommerce, Inc. DBA NameBright.com
mirka.com,TAKEN,MarkMonitor Inc.
mirto.com,TAKEN,IONOS SE
mirus.com,TAKEN,Network Solutions, LLC
mitra.com,TAKEN,GoDaddy.com, LLC
mivex.com,TAKEN,GoDaddy.com, LLC
moirai.com,TAKEN,Cloudflare, Inc.
moldix.com,TAKEN,Dynadot Inc
moln.com,TAKEN,GMO Internet Group, Inc. d/b/a Onamae.co
morel.com,TAKEN,OVH sas
morion.com,TAKEN,Network Solutions, LLC
mulvex.com,TAKEN,Annulet LLC
munus.com,TAKEN,Dynadot Inc
murex.com,TAKEN,Amazon Registrar, Inc.
muxon.com,TAKEN,eNom, LLC
mynova.com,TAKEN,GoDaddy Online Services Cayman Islands L
myntex.com,TAKEN,GoDaddy.com, LLC
nacre.com,TAKEN,Dynadot Inc
naevi.com,TAKEN,GoDaddy.com, LLC
nairu.com,TAKEN,GoDaddy.com, LLC
nappe.com,TAKEN,eNom, LLC
nasim.com,TAKEN,GoDaddy.com, LLC
navox.com,TAKEN,GoDaddy.com, LLC
nawra.com,TAKEN,GoDaddy.com, LLC
neap.com,TAKEN,NameSecure L.L.C.
nelix.com,TAKEN,GoDaddy.com, LLC
nelko.com,TAKEN,Alibaba Cloud Computing Ltd. d/b/a HiChi
nerbo.com,TAKEN,Key-Systems GmbH
neroli.com,TAKEN,GoDaddy.com, LLC
nerva.com,TAKEN,Network Solutions, LLC
